Brown Univ.,1,1,1,3,1,1,4,2,1,1,3,3,3,3,4,3,3,3,4
Univ. of North Carolina-Chapel Hill,1,2,2,1,1,1,4,1,1,1,3,3,4,1,4,3,2,2,4
Washington Univ. in St. Louis,1,1,1,1,1,1,3,2,1,1,2,3,3,4,4,3,2,2,4
UC Davis,1,4,1,3,1,4,4,2,2,2,3,4,4,3,4,4,2,3,4
Boston College,1,2,1,3,2,2,4,2,2,2,3,4,4,4,2,3,2,3,4
UC Berkeley,1,4,1,3,1,3,4,2,3,2,3,4,4,3,4,4,2,2,4
Univ. of Georgia,1,4,1,2,3,3,4,3,3,3,3,4,4,4,4,4,3,3,4
Rutgers Univ.,1,3,1,3,2,4,3,2,3,2,3,4,3,3,4,4,3,3,4
Tufts Univ.,1,1,1,3,1,1,3,2,2,1,3,3,3,4,4,3,3,3,3
Texas A&M Univ.,1,1,1,1,2,3,4,1,1,3,2,4,2,2,4,4,2,2,3
Massachusetts Institute of Technology,2,3,2,2,2,2,2,2,2,1,3,4,3,4,4,3,3,3,4
Princeton Univ.,1,1,1,1,1,1,3,1,1,1,3,3,3,4,4,3,3,3,4
UT Austin,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,4
Univ. of Virginia,1,1,1,3,2,2,4,2,2,1,3,3,3,1,4,3,3,3,4
Stanford Univ.,1,1,1,1,1,1,3,1,1,1,3,3,3,4,4,3,3,3,4
Univ. of Wisconsin-Madison,1,3,1,3,2,2,4,2,3,2,3,4,3,2,4,3,3,3,4
Carnegie Mellon Univ.,1,1,1,3,2,2,4,1,2,1,2,4,3,4,4,2,1,3,4
Univ. of Illinois-Urbana Champaign,1,4,1,2,2,4,4,2,2,2,2,4,3,3,4,3,3,3,4
Columbia Univ.,1,1,1,3,1,1,3,1,2,1,3,3,3,4,4,3,3,3,4
Georgia Institute of Technology,1,4,1,3,2,3,4,2,3,1,3,4,2,1,4,3,3,3,4
Johns Hopkins Univ.,1,1,1,3,1,1,4,2,2,2,3,4,3,4,4,4,2,2,4
Rice Univ.,1,3,1,3,1,1,3,1,1,1,3,3,3,3,4,4,3,3,3
Georgetown Univ.,1,1,1,1,1,1,2,2,1,1,3,3,3,3,4,3,3,3,4
Univ. of Southern California,1,4,1,1,1,1,4,2,2,2,3,3,4,4,4,3,3,3,4
Purdue Univ.,1,3,1,1,2,2,4,2,3,2,2,4,3,3,4,3,3,3,3
Univ. of Pennsylvania,1,2,1,1,1,1,2,2,2,1,3,3,3,3,4,3,3,3,4
Northwestern Univ.,1,1,1,3,1,1,2,1,1,1,3,3,3,4,4,3,3,3,3
Univ. of Notre Dame,1,2,2,3,2,2,2,2,2,1,2,3,4,4,3,2,2,3,3
Yale Univ.,1,1,1,3,1,1,3,1,1,1,3,3,3,3,4,3,3,3,4
Univ. of Michigan-Ann Arbor,1,4,1,2,2,2,4,3,3,2,2,4,3,3,4,4,3,3,3
Univ. of Chicago,1,3,3,3,1,1,4,1,1,1,3,3,3,3,3,3,3,3,3
Dartmouth College,1,1,1,1,1,1,3,1,2,1,3,3,3,4,4,3,3,3,3
Boston Univ.,1,2,1,3,1,1,4,2,1,2,3,3,3,3,4,3,3,3,3
Virginia Tech,1,4,1,3,1,4,4,3,3,3,1,3,1,1,4,1,3,3,4
Univ. of Rochester,1,3,1,3,2,2,2,1,2,1,3,3,3,4,4,3,3,3,2
Cornell Univ.,1,2,1,3,1,1,3,1,1,1,3,3,3,3,4,3,3,3,4
Duke Univ.,1,4,1,1,1,1,3,1,1,1,3,3,3,3,3,3,3,3,3
UCLA,1,4,1,4,1,4,4,2,2,2,3,4,3,3,4,4,2,2,4
UC San Diego,1,3,1,4,1,4,4,2,2,2,3,4,3,2,4,4,2,3,4
Harvard Univ.,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,4
Univ. of Washington,1,4,1,4,1,4,4,2,2,3,2,4,4,3,4,4,2,2,4
New York Univ.,1,1,1,1,2,2,3,2,1,2,3,3,3,4,4,3,3,3,3
Vanderbilt Univ.,1,1,1,2,1,2,3,1,2,1,3,3,3,3,4,3,3,3,4
Univ. of Maryland-College Park,1,2,1,3,2,2,4,3,2,3,2,4,3,2,4,3,3,3,4
UC Santa Barbara,2,4,1,4,1,4,4,3,3,3,3,4,3,3,4,4,3,3,4
California Institute of Technology,1,2,2,4,1,1,4,2,3,1,3,4,4,4,4,3,3,3,4
Univ. of Florida,1,3,1,2,1,4,4,1,1,1,2,4,3,3,4,4,2,2,4
Emory Univ.,1,3,1,2,2,1,3,1,1,1,3,3,3,3,4,3,2,3,4
Ohio State Univ.,1,1,1,1,2,3,4,2,2,3,2,4,3,3,4,3,2,2,4
Lehigh Univ.,1,2,1,2,2,2,3,2,2,2,3,3,3,3,4,2,2,3,2
Wake Forest Univ.,1,1,1,3,1,2,2,2,2,1,3,3,3,3,3,3,3,3,3
UC Irvine,1,4,1,4,1,4,4,1,1,2,3,4,3,3,4,4,1,1,4
Stony Brook Univ.-SUNY,1,3,1,1,2,2,3,3,3,3,3,3,3,3,4,4,3,3,3
Binghamton Univ.-SUNY,1,2,1,3,2,3,4,3,3,3,3,4,3,4,4,3,3,3,4
Univ. of Massachusetts-Amherst,1,2,1,3,2,2,4,2,2,2,2,4,4,3,4,3,3,2,3
Northeastern Univ.,1,3,1,1,1,1,4,2,2,2,3,4,3,4,4,3,2,2,3
Pennsylvania State Univ.,2,4,1,3,4,4,4,4,3,4,4,3,3,3,4,3,4,4,4
Univ. of Pittsburgh,1,3,1,3,1,3,4,3,2,2,3,4,3,3,3,3,2,2,2
Florida State Univ.,1,2,2,2,2,4,4,2,2,2,2,4,2,2,4,4,2,2,4
Syracuse Univ.,1,1,1,3,1,1,1,1,1,1,3,3,3,3,4,3,1,3,1
Villanova Univ.,1,3,1,3,2,2,4,2,2,2,3,3,3,3,4,3,2,4,3
Univ. of Indiana,1,1,1,2,2,3,3,3,3,3,3,4,3,3,4,3,3,3,4
George Washington Univ.,1,4,1,3,2,2,4,2,2,3,3,3,3,4,4,3,2,3,3
Case Western Reserve Univ.,1,1,1,3,2,2,2,1,2,2,3,3,4,4,4,2,2,3,3
Brandeis Univ.,1,1,1,3,2,2,3,2,2,4,1,3,3,3,3,3,3,3,3
Univ. of Connecticut,1,1,1,1,2,2,4,2,2,2,2,4,3,3,4,3,2,3,4
College of William and Mary,1,1,1,1,1,1,3,1,1,1,3,3,3,1,4,3,1,1,3
Santa Clara Univ.,1,2,1,3,1,2,4,2,2,2,2,3,3,3,3,2,2,3,3
Univ. of Miami,1,1,1,1,1,3,4,1,2,2,3,3,3,3,4,3,2,2,3
UC Merced,1,4,1,4,1,3,4,2,2,3,3,4,3,3,4,4,3,3,4
Univ. of Minnesota,1,1,1,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4
Tulane Univ.,1,1,1,1,2,2,4,3,3,2,3,3,3,3,4,3,2,3,2
Colorado School of Mines,1,3,1,3,2,2,3,3,3,3,3,3,3,3,4,4,4,4,3
Rensselaer Polytechnic Institute,1,1,1,3,2,2,4,2,3,2,3,3,4,4,4,3,3,3,3
Michigan State Univ.,2,3,1,3,1,3,3,2,2,2,3,3,2,3,4,4,3,3,2
North Carolina State Univ.,1,1,1,2,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3
Univ. of Illinois-Chicago,1,1,1,3,2,3,4,3,3,4,4,4,4,4,4,4,4,4,4
Baylor Univ.,1,3,1,1,2,3,4,3,3,3,4,3,4,4,4,4,3,3,3
Rochester Institute of Technology,1,2,1,2,2,2,3,3,3,2,3,3,4,4,4,3,3,3,2
Univ. of Iowa,1,1,1,1,4,3,4,4,3,3,4,4,4,3,4,4,4,4,4
New Jersey Institute of Technology,1,2,1,3,3,3,4,3,3,3,4,3,3,3,4,4,4,4,3
Univ. of Oregon,1,3,1,3,2,3,4,3,3,3,3,4,3,3,4,3,3,3,4
Marquette Univ.,1,3,1,2,2,3,3,2,3,3,3,4,4,4,4,4,2,3,4
Univ. of Delaware,1,3,1,2,2,2,3,2,2,2,3,3,3,1,4,3,2,2,3
Univ. at Buffalo-SUNY,1,2,1,1,3,2,4,3,3,3,3,4,3,4,4,3,3,3,4
Auburn Univ.,2,4,1,1,1,3,4,2,2,2,2,2,2,2,4,4,2,2,2
Southern Methodist Univ.,1,3,1,1,1,1,3,1,3,1,3,4,3,3,4,3,2,3,2
Drexel Univ.,1,1,1,1,2,2,3,3,3,2,3,3,4,4,4,4,3,3,3
Pepperdine Univ.,1,4,1,3,1,2,3,1,1,1,3,3,4,4,1,3,2,3,4
Illinois Institute of Technology,1,2,1,3,3,2,3,3,3,3,3,3,4,4,4,4,3,3,3
Fordham Univ.,1,3,1,3,2,2,4,2,2,2,3,3,3,4,4,3,2,2,3
Clemson Univ.,1,1,1,1,3,3,4,3,3,4,4,3,4,1,4,4,4,4,4
Texas Christian Univ.,1,3,1,3,2,3,4,2,3,2,2,3,3,3,3,3,2,2,3
Univ. of San Diego,1,2,1,4,2,2,3,2,2,2,3,4,3,4,3,3,2,3,3
Univ. of South Florida,1,3,1,1,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4
Gonzaga Univ.,1,4,1,3,2,2,3,2,2,1,3,3,4,4,4,3,3,3,3
UC Santa Cruz,1,4,1,4,1,4,4,2,2,2,2,4,2,1,4,4,3,3,4
Loyola Marymount Univ.,2,3,1,3,2,3,4,3,2,2,3,3,4,4,4,4,3,3,4
Worcester Polytechnic Institute,1,2,1,4,3,2,4,2,3,2,3,3,3,4,4,3,3,3,3
Temple Univ.,1,4,1,3,3,3,4,3,3,3,3,3,3,3,4,4,3,3,3
UC Riverside,2,4,1,4,1,4,4,4,3,4,3,4,4,3,4,4,4,4,4
Stevens Institute of Technology,1,3,1,1,3,3,3,3,2,2,3,3,3,3,4,3,3,3,3
Rutgers-Newark,1,3,1,3,2,4,4,3,4,4,3,4,3,3,4,4,3,3,3
Rutgers-Camden,1,2,1,3,3,4,4,2,2,3,4,4,4,4,4,4,3,3,2
Wesleyan Univ.,1,2,2,3,2,2,3,3,2,2,2,3,3,4,4,2,3,3,4
U.S. Military Academy,1,3,1,1,2,2,1,1,2,1,3,4,4,4,4,3,3,3,2
Carleton College,1,1,1,3,1,1,3,1,1,1,3,3,3,4,4,3,3,3,4
Swarthmore College,1,1,1,3,1,1,3,3,3,1,3,3,3,3,3,3,3,3,4
Bowdoin College,1,1,1,3,1,1,3,1,1,1,3,3,3,3,4,3,3,3,3
Williams College,1,1,1,3,2,1,4,2,2,1,2,3,3,4,3,2,2,2,4
Harvey Mudd College,1,3,1,3,2,1,3,2,3,2,3,3,3,3,4,3,3,3,4
U.S. Air Force Academy,1,2,1,1,1,1,1,1,2,1,3,3,1,4,4,3,2,3,1
Colgate Univ.,1,1,1,2,2,2,4,2,2,2,3,3,3,4,4,4,3,3,4
Bates College,1,1,1,3,1,1,3,1,1,1,2,3,2,2,4,3,3,3,2
Vassar College,1,2,1,3,1,1,3,1,1,1,3,3,3,4,3,3,2,2,4
Colby College,1,2,1,3,2,1,4,2,2,1,3,3,3,4,4,2,3,3,3
Claremont McKenna College,1,1,1,3,2,1,2,1,2,1,3,3,3,4,4,3,3,3,4
Haverford College,1,2,1,3,1,1,3,1,2,1,3,3,3,4,4,3,2,2,3
Pomona College,1,1,1,3,1,1,3,1,1,1,3,4,3,4,4,3,3,3,4
Wellesley College,1,2,1,3,2,1,4,2,2,1,3,3,3,3,4,3,3,3,3
Amherst College,1,2,1,3,1,1,4,1,1,1,2,3,3,4,4,3,2,2,4
Davidson College,1,3,3,3,2,1,4,2,2,1,4,4,4,4,4,4,1,4,4
Univ. of Richmond,1,2,1,2,2,2,4,2,2,2,3,3,3,3,4,3,3,3,4
Barnard College,1,2,1,3,1,1,3,2,2,1,3,3,3,4,4,3,2,2,3
Grinnell College,1,1,1,2,2,1,3,2,2,3,3,3,3,3,4,3,3,3,3
Hamilton College,1,1,1,3,2,2,3,3,3,2,3,3,3,3,4,3,3,3,3
Washington and Lee Univ.,1,3,3,3,3,1,3,1,3,1,3,3,3,3,4,3,3,3,3
Middlebury College,1,1,1,2,2,2,4,1,1,1,3,3,3,4,4,2,3,3,3
Smith College,1,2,1,3,1,1,2,2,2,1,3,3,3,4,4,3,3,3,4
U.S. Naval Academy,1,1,1,2,1,1,1,1,1,3,3,3,3,4,3,3,3,1,1